discordant_case_type,family_id,province,core_region,weighted_degree,unweighted_degree,betweenness,eigenvector,literary_clue_count,confirmed_female_writer_count,uncertain_literary_clue_count,LCP_main_0604,LCP_equal_0505,LCP_literary_heavy_0802,LCP_female_heavy_0208
high_centrality_high_LCP,张氏（安徽桐城）,安徽,安徽,309,57,0.04160513229308409,0.9841886928019608,9,9,0,0.7494747940705687,0.7506130276448741,0.7471983269219579,0.7540277283677904
high_centrality_high_LCP,姚氏（安徽桐城）,安徽,安徽,307,48,0.07268228697937931,1,9,9,0,0.7494747940705687,0.7506130276448741,0.7471983269219579,0.7540277283677904
high_centrality_high_LCP,陈氏（浙江海宁）,浙江,浙江,246,126,0.2812496797852322,0.00217451304195649,21,20,1,1,1,1,1
high_centrality_high_LCP,方氏（安徽桐城）,安徽,安徽,194,66,0.15321959374336408,0.4766881158984465,10,10,0,0.7804975682555573,0.7816829163738404,0.7781268720189909,0.7852389607286899
high_centrality_high_LCP,任氏（江苏宜兴）,江苏,江苏,114,44,0.05172720243309628,6.210292185395716e-4,4,4,0,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128
high_centrality_high_LCP,许氏（浙江钱塘）,浙江,浙江,100,59,0.05598956433357065,0.00249150792870754,4,3,1,0.4945430202910252,0.48800926647483867,0.5076105279233983,0.46840800502627905
high_centrality_high_LCP,汪氏（浙江钱塘）,浙江,浙江,88,44,0.07108474569154401,9.25667534335615e-5,12,12,0,0.8348724645764454,0.8361403922999153,0.8323366091295055,0.8399441754703252
high_centrality_high_LCP,查氏（浙江海宁）,浙江,浙江,81,36,0.08089706570541669,0.00271736923734564,6,6,0,0.6333796795091262,0.6343415984718501,0.6314558415836784,0.6372273553600218
high_centrality_high_LCP,吕氏（江苏阳湖）,江苏,江苏,62,30,0.02145083927271824,0.00301595207406963,4,4,0,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128
high_centrality_high_LCP,吴氏（浙江钱塘）,浙江,浙江,56,37,0.03645519927917722,9.539956883823148e-5,4,4,0,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128
high_centrality_high_LCP,钱氏（浙江秀水）,浙江,浙江,52,33,0.02153917388638905,2.9199557659207267e-4,10,10,0,0.7804975682555573,0.7816829163738404,0.7781268720189909,0.7852389607286899
high_centrality_high_LCP,朱氏（浙江海盐）,浙江,浙江,48,26,0.02690664169340299,8.160195246573699e-4,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,李氏（安徽合肥）,安徽,安徽,44,22,0.02039065895201564,6.315545379311057e-5,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,方氏（江苏阳湖）,江苏,江苏,39,30,0.0112630837846919,3.655656639707965e-4,5,5,0,0.5832047481370367,0.5840904660161111,0.581433312378888,0.5867476196533344
high_centrality_high_LCP,金氏（浙江仁和）,浙江,浙江,38,22,0.01449108597067399,2.6142842764366914e-4,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,秦氏（江苏无锡）,江苏,江苏,34,23,0.0113239951698084,9.652001287206076e-5,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,梁氏（福建长乐）,福建,Other,33,20,0.02524851306573399,9.66584294538243e-5,10,10,0,0.7804975682555573,0.7816829163738404,0.7781268720189909,0.7852389607286899
high_centrality_high_LCP,汪氏（浙江秀水）,浙江,浙江,30,16,0.01346508558127197,9.78063623969693e-5,4,4,0,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128
high_centrality_high_LCP,王氏（江苏太仓）,江苏,江苏,30,20,0.01018971801579496,3.1826472873573415e-4,11,11,0,0.8088191421463632,0.8100475024733753,0.8063624214923389,0.8137325834544118
high_centrality_high_LCP,吴氏（江苏吴县）,江苏,江苏,29,17,0.0067892050749325,1.62809312645245e-4,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,张氏（浙江钱塘）,浙江,浙江,28,20,0.00473379953865079,1.5434942505027278e-4,4,4,0,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128
high_centrality_high_LCP,陈氏（浙江钱塘）,浙江,浙江,27,21,0.0107410970384178,6.020667191977528e-5,6,6,0,0.6333796795091262,0.6343415984718501,0.6314558415836784,0.6372273553600218
high_centrality_high_LCP,左氏（江苏阳湖）,江苏,江苏,26,16,0.01151583910521878,4.439931134088973e-4,5,5,0,0.5832047481370367,0.5840904660161111,0.581433312378888,0.5867476196533344
high_centrality_high_LCP,徐氏（江苏昆山）,江苏,江苏,26,16,0.02691295112237876,0.00522702966483984,4,4,0,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128
high_centrality_high_LCP,左氏（安徽桐城）,安徽,安徽,25,7,0.00122872494388311,0.08873883228209166,7,7,0,0.6768431820279793,0.6778711093717926,0.6747873273403528,0.6809548914032324
high_centrality_high_LCP,孙氏（浙江仁和）,浙江,浙江,23,13,0.00400866834823348,5.423908699043599e-6,4,4,0,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128
high_centrality_high_LCP,沈氏（浙江归安）,浙江,浙江,23,18,0.01492263539495373,2.0553646866836936e-4,6,6,0,0.6333796795091262,0.6343415984718501,0.6314558415836784,0.6372273553600218
high_centrality_high_LCP,张氏（浙江海盐）,浙江,浙江,22,10,0.00510494548782461,1.5091611797920132e-4,4,4,0,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128
high_centrality_high_LCP,曹氏（江苏上海）,江苏,江苏,21,12,0.00669378058519657,8.202166042314833e-6,8,8,0,0.7151807082554207,0.7162668591176939,0.7130084065308742,0.7195253117045138
high_centrality_high_LCP,杨氏（江苏金匮）,江苏,江苏,19,12,0.01375855194295269,1.9420756423988637e-4,6,6,0,0.6333796795091262,0.6343415984718501,0.6314558415836784,0.6372273553600218
high_centrality_high_LCP,赵氏（江苏常熟）,江苏,江苏,19,13,0.00550762880183846,2.461178601919514e-5,6,6,0,0.6333796795091262,0.6343415984718501,0.6314558415836784,0.6372273553600218
high_centrality_high_LCP,陆氏（浙江平湖）,浙江,浙江,19,12,0.00468400610154447,1.2540184400657982e-4,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,毕氏（江苏镇洋）,江苏,江苏,18,14,0.01725215064029324,2.4964475836173857e-4,4,4,0,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128
high_centrality_high_LCP,左氏（湖南湘阴）,湖南,Other,17,9,0.00882761116525559,5.664629759901101e-6,7,7,0,0.6768431820279793,0.6778711093717926,0.6747873273403528,0.6809548914032324
high_centrality_high_LCP,梁氏（浙江钱塘）,浙江,浙江,17,10,0.00962895993604533,3.108495618246547e-4,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,汪氏（浙江仁和）,浙江,浙江,17,11,0.0061053782480176904,5.746805659401083e-5,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,孙氏（浙江钱塘）,浙江,浙江,16,9,0.00417826725958738,7.80686498442495e-4,5,5,0,0.5832047481370367,0.5840904660161111,0.581433312378888,0.5867476196533344
high_centrality_high_LCP,宋氏（江苏长洲）,江苏,江苏,16,10,0.00301453393297228,3.050966818483568e-4,6,6,0,0.6333796795091262,0.6343415984718501,0.6314558415836784,0.6372273553600218
high_centrality_high_LCP,张氏（江苏吴县）,江苏,江苏,16,14,0.00565602784927312,2.85110981038952e-5,7,7,0,0.6768431820279793,0.6778711093717926,0.6747873273403528,0.6809548914032324
high_centrality_high_LCP,归氏（江苏常熟）,江苏,江苏,16,13,0.0039913935398515,3.0313342794079373e-5,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,翁氏（江苏常熟）,江苏,江苏,16,10,0.00667921223952806,4.522395404732543e-5,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,俞氏（浙江山阴）,浙江,浙江,14,7,0.00266362483990565,1.0098281245416977e-6,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,俞氏（浙江德清）,浙江,浙江,14,9,0.00741954161010707,6.217776498704014e-5,5,5,0,0.5832047481370367,0.5840904660161111,0.581433312378888,0.5867476196533344
high_centrality_high_LCP,吴氏（浙江归安）,浙江,浙江,14,10,0.00515362530452269,3.606283347239017e-5,7,7,0,0.6768431820279793,0.6778711093717926,0.6747873273403528,0.6809548914032324
high_centrality_high_LCP,周氏（湖南湘潭）,湖南,Other,14,10,0.00769872259523941,5.219816631217981e-5,7,7,0,0.6768431820279793,0.6778711093717926,0.6747873273403528,0.6809548914032324
high_centrality_high_LCP,张氏（江苏华亭）,江苏,江苏,14,13,0.00954702211969611,1.3253677835077032e-5,5,5,0,0.5832047481370367,0.5840904660161111,0.581433312378888,0.5867476196533344
high_centrality_high_LCP,朱氏（浙江嘉兴）,浙江,浙江,14,9,0.00166159923740735,5.894784029575891e-6,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,蒋氏（江苏常熟）,江苏,江苏,14,9,0.00123858322290691,4.5187203787183184e-4,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,冒氏（江苏如皋）,江苏,江苏,13,9,0.00299217024444606,2.0561900747451906e-7,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,钱氏（浙江归安）,浙江,浙江,13,10,0.00498803816504931,5.094167355828566e-5,4,4,0,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128
high_centrality_high_LCP,徐氏（浙江海盐）,浙江,浙江,12,9,0.00274096669006182,4.9848439652103976e-5,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,李氏（浙江嘉兴）,浙江,浙江,12,9,0.00591011586307543,4.242621876758782e-6,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,杨氏（江苏吴县）,江苏,江苏,12,9,0.00334161428771332,6.286759873563493e-5,7,7,0,0.6768431820279793,0.6778711093717926,0.6747873273403528,0.6809548914032324
high_centrality_high_LCP,沈氏（江苏吴江）,江苏,江苏,12,7,0.00223080075058015,2.67056203666211e-7,6,6,0,0.6333796795091262,0.6343415984718501,0.6314558415836784,0.6372273553600218
high_centrality_high_LCP,陈氏（浙江仁和）,浙江,浙江,12,10,0.00299942703317192,2.8643987272423892e-5,6,6,0,0.6333796795091262,0.6343415984718501,0.6314558415836784,0.6372273553600218
high_centrality_high_LCP,高氏（浙江仁和）,浙江,浙江,12,8,0.00133754026262637,1.334538554144254e-5,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,袁氏（浙江钱塘）,浙江,浙江,11,9,0.0033374382111824,2.4972989960049927e-5,7,7,0,0.6768431820279793,0.6778711093717926,0.6747873273403528,0.6809548914032324
high_centrality_high_LCP,许氏（福建侯官）,福建,Other,11,8,0.0050657862128134,1.928448495986806e-6,4,4,0,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128
high_centrality_high_LCP,邵氏（江苏昭文）,江苏,江苏,11,6,0.00178713255432847,1.2971007836993888e-5,4,4,0,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128
high_centrality_high_LCP,郑氏（湖南长沙）,湖南,Other,11,8,0.00499030191801033,4.508252980321182e-6,4,4,0,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128
high_centrality_high_LCP,顾氏（江苏无锡）,江苏,江苏,11,7,0.00332315283463403,4.242426384642051e-6,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
high_centrality_high_LCP,黄氏（浙江仁和）,浙江,浙江,11,10,0.00249715684494542,1.6414345628400228e-5,4,4,0,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128
high_centrality_low_LCP,孔氏（山东曲阜）,山东,Other,109,54,0.2318450898461516,0.02233615813180649,0,0,0,0,0,0,0
high_centrality_low_LCP,潘氏（江苏吴县）,江苏,江苏,89,39,0.0487007655410064,0.00272760928019367,0,0,0,0,0,0,0
high_centrality_low_LCP,陈氏（江西新城）,江西,Other,56,35,0.02631757952961223,0.00523709642126255,0,0,0,0,0,0,0
high_centrality_low_LCP,朱氏（江苏宝应）,江苏,江苏,34,12,0.01351515285946229,2.2021168495491616e-4,0,0,0,0,0,0,0
high_centrality_low_LCP,陶氏（湖南安化）,湖南,Other,31,15,0.03648494907027451,2.2414026035172488e-4,0,0,0,0,0,0,0
high_centrality_low_LCP,马氏（安徽桐城）,安徽,安徽,30,4,6.144993924835551e-4,0.12097420265518806,0,0,0,0,0,0,0
high_centrality_low_LCP,童氏（浙江鄞县）,浙江,浙江,28,18,0.0089572049369166,4.157796354175821e-6,0,0,0,0,0,0,0
high_centrality_low_LCP,刘氏（江苏宝应）,江苏,江苏,27,7,0.00700184267665419,1.1279809725745507e-4,0,0,0,0,0,0,0
high_centrality_low_LCP,张氏（直隶南皮）,直隶,Other,25,14,0.02487131979262197,7.504813522213604e-6,0,0,0,0,0,0,0
high_centrality_low_LCP,程氏（江西新建）,江西,Other,25,15,0.01362901598218717,6.672448848119722e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,纪氏（直隶献县）,直隶,Other,25,12,0.03585554207344618,2.2329411395681376e-4,0,0,0,0,0,0,0
high_centrality_low_LCP,万氏（江苏宜兴）,江苏,江苏,22,7,0.00866460573866852,9.659749445274812e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,朱氏（直隶大兴）,直隶,Other,22,17,0.01126301076040283,1.4430773256569451e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,阮氏（江苏仪征）,江苏,江苏,22,12,0.01235293283083755,2.827456537587228e-4,0,0,0,0,0,0,0
high_centrality_low_LCP,谢氏（江西南康）,江西,Other,19,12,0.00722634672534898,2.392106772654533e-4,0,0,0,0,0,0,0
high_centrality_low_LCP,乔氏（江苏宝应）,江苏,江苏,18,4,0.01027260058388396,0.00476724996609135,0,0,0,0,0,0,0
high_centrality_low_LCP,韩氏（江苏元和）,江苏,江苏,18,10,0.00697975282921198,9.819401228935108e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,叶氏（安徽桐城）,安徽,安徽,17,7,0.00814074774498713,0.04502347636842356,0,0,0,0,0,0,0
high_centrality_low_LCP,徐氏（浙江德清）,浙江,浙江,17,13,0.00653745383838027,1.5986307400997637e-4,0,0,0,0,0,0,0
high_centrality_low_LCP,曾氏（江苏常熟）,江苏,江苏,17,9,0.0054725999631775,9.845911887729826e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,朱氏（浙江余姚）,浙江,浙江,17,13,0.00689490773335436,2.9191646571491997e-6,0,0,0,0,0,0,0
high_centrality_low_LCP,王氏（江苏高邮）,江苏,江苏,17,12,0.0104218896148416,5.5500971191885275e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,吴氏（江苏宜兴）,江苏,江苏,16,4,0.0098656727330682,0.01000722448259138,0,0,0,0,0,0,0
high_centrality_low_LCP,彭氏（江西南昌）,江西,Other,16,8,0.02122469217751949,0.00951821918557229,0,0,0,0,0,0,0
high_centrality_low_LCP,王氏（山东福山）,山东,Other,16,13,0.00650671517670189,6.406791150499864e-7,0,0,0,0,0,0,0
high_centrality_low_LCP,董氏（江苏阳湖）,江苏,江苏,16,7,0.02852349268967534,4.750792191543785e-4,0,0,0,0,0,0,0
high_centrality_low_LCP,吴氏（江苏武进）,江苏,江苏,15,7,8.743745811942922e-4,7.410319389026324e-4,0,0,0,0,0,0,0
high_centrality_low_LCP,朱氏（浙江秀水）,浙江,浙江,15,11,0.00627775664637413,1.38259136615017e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,查氏（直隶宛平）,直隶,Other,15,12,0.00787357012736987,4.024964946306926e-7,0,0,0,0,0,0,0
high_centrality_low_LCP,王氏（浙江仁和）,浙江,浙江,15,11,0.00910638443144063,3.644645918773497e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,顾氏（浙江仁和）,浙江,浙江,15,10,0.00555874580418409,0.00495875297775228,0,0,0,0,0,0,0
high_centrality_low_LCP,冯氏（浙江桐乡）,浙江,浙江,14,8,0.00163035853374164,1.4737371403246556e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,季氏（江苏江阴）,江苏,江苏,14,10,0.00611509960649949,1.6755508957453824e-6,0,0,0,0,0,0,0
high_centrality_low_LCP,张氏（直隶丰润）,直隶,Other,14,9,0.00516463371609927,9.896768630675075e-7,0,0,0,0,0,0,0
high_centrality_low_LCP,朱氏（江苏宜兴）,江苏,江苏,14,4,0.00133141535038103,2.5481280957521004e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,胡氏（浙江仁和）,浙江,浙江,14,9,0.00198995751720703,7.892645018746404e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,费氏（江苏武进）,江苏,江苏,14,10,0.00241341037343669,2.1050743891625928e-6,0,0,0,0,0,0,0
high_centrality_low_LCP,钱氏（浙江仁和）,浙江,浙江,14,11,0.00131357003974073,7.604584807145649e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,陈氏（湖北薪水）,湖北,Other,14,9,0.00446196662260563,4.9824975588632e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,黄氏（贵州贵筑）,贵州,Other,14,9,0.0047908725845733,9.031419651320107e-8,0,0,0,0,0,0,0
high_centrality_low_LCP,丁氏（江苏武进）,江苏,江苏,13,9,0.00484270418174764,2.246983810246863e-4,0,0,0,0,0,0,0
high_centrality_low_LCP,夏氏（江苏江阴）,江苏,江苏,13,10,0.00368018227592793,0.00998038571811224,0,0,0,0,0,0,0
high_centrality_low_LCP,王氏（江苏宝应）,江苏,江苏,13,4,0.00222892950317286,9.901574328092836e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,陈氏（江苏仪征）,江苏,江苏,13,7,0.00307811070463966,7.4851639879297566e-6,0,0,0,0,0,0,0
high_centrality_low_LCP,陈氏（江苏宜兴）,江苏,江苏,13,7,0.00917203326731024,1.5325767143581584e-4,0,0,0,0,0,0,0
high_centrality_low_LCP,严氏（江苏常熟）,江苏,江苏,12,10,0.00682044577859821,2.2065897024740484e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,杨氏（江苏无锡）,江苏,江苏,12,5,0.00279783435517133,1.0555320004053864e-4,0,0,0,0,0,0,0
high_centrality_low_LCP,赵氏（安徽太湖）,安徽,安徽,12,3,0.00461203153663459,2.8472515756200273e-6,0,0,0,0,0,0,0
high_centrality_low_LCP,陈氏（江西义宁）,江西,Other,12,8,0.00268435460996403,4.978584721498383e-5,0,0,0,0,0,0,0
high_centrality_low_LCP,蒋氏（江苏武进）,江苏,江苏,11,5,0,5.566231725026639e-4,0,0,0,0,0,0,0
high_centrality_low_LCP,陆费氏（浙江桐乡）,浙江,浙江,11,7,0.00294424805474704,6.658194524242875e-5,0,0,0,0,0,0,0
low_centrality_high_LCP,吴氏（浙江嘉兴）,浙江,浙江,4,3,6.232623071713777e-4,2.7418882186664053e-8,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,周氏（江苏吴江）,江苏,江苏,4,4,0.00126843190106231,1.6759415987673131e-9,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,商氏（浙江会稽）,浙江,浙江,4,2,0.00367549502937356,4.744620692858035e-5,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,杨氏（湖南长沙）,湖南,Other,4,4,8.84141579856761e-4,2.763798801074676e-7,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,汪氏（安徽歙县）,安徽,安徽,4,4,2.3276492139528605e-5,1.2135291381875296e-5,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,沈氏（江西义宁）,江西,Other,4,3,0.00148832629150985,4.246829584549892e-9,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,潘氏（湖北罗田）,湖北,Other,4,4,0.00184267665419868,6.458450020532201e-14,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
low_centrality_high_LCP,何氏（安徽歙县）,安徽,安徽,3,3,0.00184240281311468,4.984310796824026e-5,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
low_centrality_high_LCP,师氏（陕西韩城）,陕西,Other,3,3,0.00122872494388311,1.2038139028569034e-11,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
low_centrality_high_LCP,杨氏（浙江秀水）,浙江,浙江,3,3,6.153209157355385e-4,1.0502038400667824e-8,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
low_centrality_high_LCP,汪氏（江苏荆溪）,江苏,江苏,3,2,6.144993924835551e-4,5.788729296692672e-11,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
low_centrality_high_LCP,浦氏（江苏嘉定）,江苏,江苏,3,3,0,7.589232084129316e-5,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,潘氏（浙江会稽）,浙江,浙江,3,2,6.144993924835551e-4,9.232357052423192e-7,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
low_centrality_high_LCP,范氏（河南河内）,河南,Other,3,3,0.00122872494388311,1.802654140245315e-11,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
low_centrality_high_LCP,谈氏（浙江归安）,浙江,浙江,3,2,1.611098377500705e-5,7.550566456065073e-11,3,3,0,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493
low_centrality_high_LCP,赵氏（浙江吴兴）,浙江,浙江,3,3,6.144993924835551e-4,1.3222027816503976e-5,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,章氏（浙江归安）,浙江,浙江,3,2,0,1.2995800488290126e-6,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,戴氏（江苏长洲）,江苏,江苏,2,2,2.875331381941769e-6,1.0297926293176485e-7,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,曹氏（江苏华亭）,江苏,江苏,2,2,5.476821679889084e-7,0,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,汪氏（江苏阳湖）,江苏,江苏,2,2,6.144993924835551e-4,1.2711951481837522e-8,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,范氏（江西德化）,江西,Other,2,2,6.144993924835551e-4,8.39692791909175e-8,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,许氏（贵州贵筑）,贵州,Other,2,2,2.738410839944542e-7,0,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,谢氏（江西宜黄）,江西,Other,2,2,2.738410839944542e-7,0,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,章氏（江苏华亭）,江苏,江苏,2,2,2.738410839944542e-7,0,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,黄氏（湖南澧州）,湖南,Other,2,2,6.140886308575635e-4,1.6310332009103996e-6,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
low_centrality_high_LCP,黄氏（福建永福）,福建,Other,2,2,2.738410839944542e-7,0,2,2,0,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569
